folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
9517;"Jurídica Ibero";"Universidad Iberoamericana, Departamento de Derecho";1;1;3255;México;2992-7641;2594-2654;2594-2654;"Ciencias sociales y humanidades, Derecho y jurisprudencia, Derechos humanos"
28832;"Justicia y Derecho";"Tribunal Supremo Popular de la República de Cuba";1;1;11992;Cuba;3105-1170;1810-0171;;"Derecho y jurisprudencia"
29660;"Justicia(s) Revista de Derecho.";"Universidad de Otavalo";1;1;11839;Ecuador;2953-6758;;;"Derecho y jurisprudencia"
25785;"KAIRÓS, Revista de Ciencias Económicas, Jurídicas y Administrativas.";"Universidad Nacional de Chimborazo";1;1;10658;Ecuador;2631-2743;;;"Administración, Ciencias de la comunicación, Contabilidad, Derecho y jurisprudencia, Economía, Turismo"
9562;"Kalpana: Revista de Investigación";"Universidad de Especialidades Turísticas";1;1;3266;Ecuador;2661-6696;;1390-5775;Turismo
20848;Kamchatka;"Departamento Filología Española. Universitat de València";1;1;8325;España;2340-1869;2340-1869;;"Cine, Cultura, Literatura, Música, Humanidades"
9564;Káñina;"Universidad de Costa Rica";1;1;3268;"Costa Rica";2215-2636;0378-0473;0378-0473;"Arte, Bellas artes, Cultura, Filosofía, Lingüística, Literatura, Pintura, Filología"
9563;"Kant e-Prints";"Universidade Estadual de Campinas (Unicamp)";1;1;3267;Brasil;1677-163X;1677-1621;1677-1621;Filosofía
28930;Kanyú;"Universidad Nacional Autónoma Altoandina de Tarma";1;1;11922;Perú;2961-2748;2961-2748;;"Agronomía, Ganadería, Silvicultura"
9569;Kasmera;"Universidad del Zulia, Facultad de Medicina, Departamento de Enfermedades Infecciosas y Tropicales";1;1;3270;Venezuela;2477-9628;2477-9628;0075-5222;"Biología, Infectología, Medicina, Parasitología, Salud pública, Veterinaria"
29501;Kaylla;"Pontificia Universidad Católica del Perú. Departamento Académico de Artes Escénicas";1;1;11756;Perú;2955-8697;2955-8697;;"Arte, Música, Teatro, Danza"
9586;"Kipus, Revista Andina de Letras y Estudios Culturales";"Universidad Andina Simón Bolívar sede Ecuador";1;1;3278;Ecuador;2600-5751;;1390-0102;"Literatura, Humanidades, Estudios latinoamericanos, Ciencias y Técnicas historiográficas, Ciencias naturales"
29748;"KIRIA: Revista Científica Multidisciplinaria.";"Fundación Internacional para la Educación la Ciencia y la Tecnología ""FIECYT""";1;1;11775;Ecuador;3103-1129;3103-1129;;"Administración, Educación, Multidisciplinarias, Psicología"
9587;Kiru;"Universidad de San Martín de Porres, Facultad de Odontología";1;1;3279;Perú;2410-2717;1812-7886;1812-7886;Odontología
19473;Kóot;"Universidad Tecnológica de El Salvador, Dirección de Cultura";1;1;7367;"El Salvador";2307-3942;2078-0664;2078-0664;"Antropología, Arqueología, Ciencias sociales y humanidades, Multidisciplinarias, Museología, Sociología"
26823;"Korpus 21";"El Colegio Mexiquense, A.C.";1;1;11307;México;2683-2682;2683-2674;2683-2674;"Ciencias sociales y humanidades, Historia de la ciencia, Humanidades"
27668;"Kronos - The Language Teaching Journal";"Universidad Central del Ecuador";1;1;11304;Ecuador;2631-2859;2631-2840;;"Educación, Lingüística"
29447;"Kuaapy Ayvu";"INAES Publicaciones";1;1;11931;Paraguay;3078-4913;2224-7408;;"Ciencias sociales y humanidades, Educación, Estudios latinoamericanos, Tecnología educativa, Educación superior, Derechos humanos"
21920;Kultur;"Universitat Jaume I";1;1;8936;España;2386-5458;2386-5458;;"Arte, Cultura, Multidisciplinarias, Humanidades"
29882;"L'Âge d'or";"Université Gustave Eiffel";1;1;11816;Iberoamericanistas-Europa;2104-3353;2104-3353;;"Artes plásticas, Cine, Cultura, Fotografía, Pintura, Teatro"
9611;"La aljaba";"Universidad Nacional de La Pampa; Universidad Nacional del Comahue; Universidad Nacional de Luján";1;1;3290;Argentina;1669-5704;0328-6169;0328-6169;Sociología
9618;"La calera";"Universidad Nacional Agraria. Dirección de Investigación, Extensión y Post-grado(DIEP)";1;1;3292;Nicaragua;1998-8850;;1998-7846;"Agronomía, Ganadería, Silvicultura, Veterinaria, Zootecnia, Industria"
24040;"La Ciencia al servicio de la Salud y Nutrición";"Escuela Superior Politécnica del Chimborazo";1;1;10104;Ecuador;1390-874X;;;"Medicina, Salud pública"
28510;"La cifra impar.";"Universidad del Cine";1;1;11827;Argentina;2953-3627;2953-3627;;"Arte, Artes plásticas, Cine, Cultura, Humanidades, Teatro"
22035;"La Colmena";"Grupo de Estudiantes de la Especialidad de Sociología de la Pontificia Universidad Católica del Perú";1;1;11564;Perú;2414-1321;2220-4490;2220-4490;Sociología
9625;"La colmena";"Universidad Autónoma del Estado de México, Secretaría de Difusión Cultural";1;1;3297;México;2448-6302;1405-6313;1405-6313;"Arte, Humanidades"
9643;"La Granja. Revista de Ciencias de la Vida";"Universidad Politécnica Salesiana";1;1;3302;Ecuador;1390-8596;;1390-3799;"Agronomía, Biotecnología, Ganadería, Silvicultura, Ciencias de la tierra"
24841;"La Hoja de psicodrama";"Asociación Española de Psicodrama";1;1;10338;España;2605-2067;2174-4238;;"Arte, Educación, Filosofía, Psicología, Psiquiatría, Teatro"
27147;"La Junta";"Junta de Decanos de Colegios de Contadores Públicos del Perú";1;1;10997;Perú;2709-4979;2709-4979;;Contabilidad
19479;"La Palabra";"Universidad Pedagógica Y Tecnológica De Colombia";1;1;7370;Colombia;2346-3864;0121-8530;0121-8530;Literatura
19481;"La razón histórica";"Magistra Vitae";1;1;7372;España;1989-2659;1989-2659;;"Ciencias sociales y humanidades, Derecho y jurisprudencia, Economía, Historia"
23290;"La rivada";"Secretaría de Investigación y Posgrado. Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Misiones.";1;1;9728;Argentina;2347-1085;2347-1085;;"Ciencias sociales y humanidades"
26390;"La Saeta Universitaria Académica y de Investigación";"Centro de Investigación y Documentación Universidad Autónoma de Encarnación";1;1;10855;Paraguay;2414-2506;2709-6556;;Multidisciplinarias
9698;"La Técnica";"Universidad Técnica de Manabí";1;1;3316;Ecuador;2477-8982;2477-8982;1390-6895;"Multidisciplinarias, Pesca, Silvicultura"
