"revista_id","revista","issn_canonico"
"REV-0237","OIDO PENSANTE","2250-7116"
"REV-0238","The Institutionalisation of Evaluation in the Americas","9783030811"
"REV-0239","The Palgrave Handbook of Global Rehabilitation in Criminal Justice","978-303114"
"REV-0240","FORO DE EDUCACION","1698-7799; 1698-7802"
"REV-0241","REVISTA VENEZOLANA DE GERENCIA","1315-9984"
"REV-0242","HEALTH COMMUNICATION","1041-0236; 1532-7027"
"REV-0243","PERFILES LATINOAMERICANOS","0188-7653"
"REV-0244","GACETA SANITARIA","0213-9111; 1578-1283"
"REV-0245","Asparkia","1132-8231; 2340-4795"
"REV-0246","CURRENT PSYCHOLOGY","1046-1310; 1936-4733"
"REV-0247","EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS","0959-6801; 1461-7129"
"REV-0248","REVISTA CIDOB D AFERS INTERNATIONALS","1133-6595; 2013-035X"
"REV-0249","CHILD INDICATORS RESEARCH","1874-897X; 1874-8988"
"REV-0250","REVISTA COMPLUTENSE DE EDUCACION","1130-2496; 1988-2793"
"REV-0251","Estudios Sociologicos","0185-4186; 2448-6442"
"REV-0252","SOCIAL MOVEMENT STUDIES","1474-2829; 1474-2837"
"REV-0253","SUBJECTIVITY","1755-6341; 1755-635X"
"REV-0254","JOURNAL OF LABOR AND SOCIETY","2471-4607; 2667-3657"
"REV-0255","REVISTA DE CIENCIA POLITICA","0716-1417; 0718-090X"
"REV-0256","ANTHROPOLOGISCHER ANZEIGER","0003-5548"
"REV-0257","RESEARCH IN PSYCHOTHERAPY-PSYCHOPATHOLOGY PROCESS AND OUTCOME","2239-8031"
"REV-0258","FRONTIERS IN EARTH SCIENCE","2296-6463"
"REV-0259","INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY","0160-2527; 1873-6386"
"REV-0260","ATHENEA DIGITAL","1578-8946; 2014-4539"
"REV-0261","ESTUDIOS FRONTERIZOS","0187-6961; 2395-9134"
"REV-0262","CUADERNOS DE DESARROLLO RURAL","0122-1450"
"REV-0263","DISCURSOS DEL SUR","2617-2283; 2617-2291"
"REV-0264","ISCIENCE","2589-0042"
"REV-0265","ALTERNATIVAS. CUADERNOS DE TRABAJO SOCIAL","1989-9971"
"REV-0266","REVISTA INTERNACIONAL DE EDUCACION PARA LA JUSTICIA SOCIAL","2254-3139"
"REV-0267","Cadernos de Pesquisa","0100-1574; 1980-5314"
"REV-0268","ACTA COLOMBIANA DE PSICOLOGIA","0123-9155"
"REV-0269","RISK HAZARDS & CRISIS IN PUBLIC POLICY","1944-4079"
"REV-0270","ARQ","0716-0852; 0717-6996"
"REV-0271","SOCIOLOGICA-INTERNATIONAL JOURNAL FOR SOCIOLOGICAL DEBATE","1971-8853"
"REV-0272","Revista enfoques educacionales","0717-3229; 2735-7279"
"REV-0273","AMERICAN JOURNAL OF PRIMATOLOGY","0275-2565; 1098-2345"
"REV-0274","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","1380-3395; 1744-411X"
"REV-0275","JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY","1072-5369; 1573-7764"
"REV-0276","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","1422-0067"
"REV-0277","REVISTA INTERNACIONAL DE ESTUDIOS MIGRATORIOS","2173-1950"
"REV-0278","INTERNATIONAL JOURNAL OF SOCIOLOGY","0020-7659; 1557-9336"
"REV-0279","ASSESSING WRITING","1075-2935; 1873-5916"
"REV-0280","INTELLECTUAL AND DEVELOPMENTAL DISABILITIES","1934-9491; 1934-9556"
"REV-0281","STUDIA PSYCHOLOGICA","0039-3320; 2585-8815"
"REV-0282","TRAVEL BEHAVIOUR AND SOCIETY","2214-367X; 2214-3688"
"REV-0283","DEBATS-REVISTA DE CULTURA PODER I SOCIETAT","0212-0585; 2530-3074"
"REV-0284","School Mental Health","1866-2625; 1866-2633"
"REV-0285","REVISTA DE ESTUDIOS SOCIALES","0123-885X; 1900-5180"
"REV-0286","Socialism and Democracy","0885-4300; 1745-2635"
"REV-0287","RADIOCARBON","0033-8222; 1945-5755"
"REV-0288","CULTURAL TRENDS","0954-8963; 1469-3690"
"REV-0289","ESTUDIOS INTERNACIONALES (SANTIAGO)","0716-0240; 0719-3769"
"REV-0290","TERRITORIOS","0123-8418; 2215-7484"
"REV-0291","Acta Scientiarum - Education","2178-5198; 2178-5201"
"REV-0292","ARQUEOLOGIA","0327-5159; 1853-8126"
"REV-0293","POLITICA Y SOCIEDAD","1130-8001; 1988-3129"
"REV-0294","NEUROPSYCHOLOGY","0894-4105; 1931-1559"
"REV-0295","JOURNAL OF LATIN AMERICAN STUDIES","0022-216X; 1469-767X"
"REV-0296","Revista Argentina de Antropología Biológica","1514-7991; 1853-6387"
"REV-0297","REVISTA INTERNACIONAL DE SOCIOLOGIA","0034-9712"
"REV-0298","PSYCHOLOGICAL MEDICINE","0033-2917; 1469-8978"
"REV-0299","MEMORY STUDIES","1750-6980; 1750-6999"
"REV-0300","WORLD DEVELOPMENT","0305-750X"
"REV-0301","ENRAHONAR-QUADERNS DE FILOSOFIA","0211-402X; 2014-881X"
"REV-0302","EMOTION","1528-3542; 1931-1516"
"REV-0303","COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY","0301-5661; 1600-0528"
"REV-0304","QUALITATIVE PSYCHOLOGY","2326-3598; 2326-3601"
"REV-0305","REVISTA FINANZAS Y POLITICA ECONOMICA","2011-7663; 2248-6046"
"REV-0306","JOURNAL OF FAMILY VIOLENCE","0885-7482; 1573-2851"
"REV-0307","LATIN AMERICAN PERSPECTIVES","0094-582X; 1552-678X"
"REV-0308","Social Work's Histories of Complicity and Resistance: A Tale of Two Professions","144736430"
"REV-0309","Revista pueblos y fronteras digital","1870-4115"
"REV-0310","INTERNATIONAL JOURNAL OF INSTRUCTION","1308-1470; 1694-609X"
"REV-0311","INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY","0020-7152; 1745-2554"
"REV-0312","Global Encyclopedia of Public Administration, Public Policy, and Governance","303066251; 303066252"
"REV-0313","Journal of Social and Political Psychology","2195-3325"
"REV-0314","VOLGOGRADSKII GOSUDARSTVENNYI UNIVERSITET-VESTNIK-SERIYA 4-ISTORIYA REGIONOVEDENIE MEZHDUNARODNYE OTNOSHENIYA","1998-9938"
"REV-0315","The Oxford Handbook of Latin American Social Movements","19087036"
"REV-0316","ARCHAEOMETRY","0003-813X; 1475-4754"
"REV-0317","FEMINISM & PSYCHOLOGY","0959-3535; 1461-7161"
"REV-0318","INTERCIENCIA","0378-1844"
"REV-0319","JOURNAL OF MAPS","1744-5647"
"REV-0320","EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","0046-2772; 1099-0992"
"REV-0321","AI & SOCIETY","0951-5666; 1435-5655"
"REV-0322","JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY","0005-7916; 1873-7943"
"REV-0323","CULTURAL STUDIES OF SCIENCE EDUCATION","1871-1502; 1871-1510"
"REV-0324","COUNSELLING & PSYCHOTHERAPY RESEARCH","1473-3145; 1746-1405"
"REV-0325","EARLY YEARS","0957-5146; 1472-4421"
"REV-0326","NUTRICION HOSPITALARIA","0212-1611; 1699-5198"
"REV-0327","LETRAS VERDES","1390-6631"
"REV-0328","The Routledge International Handbook of Social Work Teaching","104000176"
"REV-0329","BOSQUE","0304-8799; 0717-9200"
"REV-0330","PAPELES DE IDENTIDAD-CONTAR LA INVESTIGACION DE FRONTERA","3045-5650"
"REV-0331","Encuentros (Maracaibo)","2343-6131; 2610-8046"
